,Name,Season,playerid,weightwRC,weightHR,weightPA,weightAB,weightR,weightH,weight2B,RBIsPredicted,linearSvrRBI,svrRBI,BayesRidgeRBI,HuberRegressorRBI,RidgeRBI,ARDRegressionRBI
8,Ichiro Suzuki,2019,1101,-0.5458513596096431,-0.787807967035396,-0.643367498984956,-0.6359374547851386,-0.5425557187370859,-0.4749225613780995,-0.6579102554719474,34.39136893384999,33.970908144968966,33.0990803401813,34.40910743687308,34.33949787407706,34.55537441487459,34.41588495882386
117,Cameron Maybin,2019,5223,-0.514971604529885,-0.9313204989184453,-0.31586060187405485,-0.33952039151290014,-0.45339979844287637,-0.3964540611535528,-0.5479794844135683,32.78879441484163,33.95209794177754,34.29380904171619,32.93246122648934,32.66512467485377,34.07435886090638,32.9034863408965
398,Mallex Smith,2019,13608,-0.05674405101913221,-1.3029687315640666,-0.1308848833865054,-0.1533059558980237,-0.1650120414358711,0.11595731948076149,-0.18573766778359263,30.477293225330367,33.92554512876174,38.008930527017114,30.81894446940766,30.551979745211945,33.51427301128867,30.73530226203157
391,Omar Narvaez,2019,13338,-0.5220212591992812,-0.8208304838075848,-0.9143891766944825,-0.982739179075043,-1.1317202973185088,-0.7340709054032646,-0.8584724700964046,34.27399440424115,33.58515077909138,30.775563552859552,34.358538388752464,34.20111180455267,34.9846238829161,34.31997230044878
361,Alex Dickerson,2019,12649,-0.6982626259341861,-0.5094495321315238,-1.1053105432762746,-1.1229564234224998,-0.6808605645329089,-0.9711210300892325,-0.5272799520347126,33.6610906962931,33.522760908272105,32.60622211811284,33.679553085437504,33.869419226099666,33.83901313196995,33.676202030561484
96,Ben Revere,2019,4712,-0.6938941076669634,-0.8179416075201762,-0.43923358108262467,-0.37330833045180684,-0.3719601441695616,-0.3959058531494436,-0.6268609569036638,32.8570556464219,33.454923124373494,33.55017299401419,32.92857570043661,32.648183344140826,33.51451274412088,32.92575627020857
358,John Hicks,2019,12547,-0.8040074459751291,-0.6098950004141241,-0.9269411004489949,-0.8632948598160984,-0.8433325403115034,-0.7316764596993659,-0.9412705996118276,33.480782067826254,33.37376750832254,30.669920014695702,33.555922102254634,33.23743103387123,34.137728081211435,33.534204428642695
333,Kennys Vargas,2019,12101,-0.874503992669091,-0.4090040638489234,-1.2440423321419367,-1.211983245230409,-0.9245685282008007,-1.066898858245179,-0.8377729377175488,33.755954246274264,33.350067248802326,31.144236571219704,33.7886248558663,33.73181971869824,34.042354722937695,33.77385255710397
502,Lourdes Gurriel Jr.,2019,19238,-0.909752266016072,-0.4090040638489234,-1.2506486078022063,-1.152632030691803,-1.0464225100347466,-0.8513987448942991,-1.3552612471889425,35.39466204484113,33.30338421141537,30.81857215604695,35.33371794943641,35.05097447516249,34.83076329010034,35.353189353135576
421,Jorge Soler,2019,14221,-0.7405605539505633,-0.5194940789597837,-1.276413082877258,-1.3366207957614815,-1.0464225100347466,-1.1507044578816323,-0.5997283153607077,34.57387528980907,33.24496341347361,31.468599363848725,34.535622136873386,34.78658986545508,34.225767505154124,34.53257715957358
166,Johnny Giavotella,2019,6740,-0.874503992669091,-0.9112314052619253,-0.5635959391341657,-0.43299855441120466,-0.47777059480966566,-0.3725096041145662,-0.11328930445759755,35.819362289634526,33.2417468060076,33.676343206209964,35.59282857703017,35.748099342749015,33.84188103387938,35.65729902081264
140,Devin Mesoraco,2019,5666,-1.015497086057015,-0.4090040638489234,-1.1779795755392406,-1.1897265397784318,-1.2901304737026384,-1.2345100575180856,-1.1482659234003851,34.387363102029624,33.206822650227224,30.116861216460347,34.40566106652712,34.12474871116061,34.52315632819763,34.38486006162784
21,Jhonny Peralta,2019,1738,-0.8392557193221101,-0.7103404686967245,-0.9203348247887253,-0.8558759579987727,-0.7620965524222062,-0.7316764596993659,-0.4237822901404338,34.45304104788377,33.11470410294383,31.279548080918932,34.37790857208144,34.4432621118994,33.79562121717238,34.39189055503457
466,Willy Adames,2019,15986,-0.5925178058932431,-0.5094495321315238,-0.8542720681860291,-0.8632948598160984,-0.5183885887543143,-0.6119541745044327,-1.4587589090832214,35.31848245781695,33.05686230508597,33.60991054530178,35.191184409219794,35.13497305190453,34.19850483594531,35.27040528221906
101,Brian McCann,2019,4810,-0.8815536473384872,-0.3487367828793631,-1.0161258218626348,-1.0636052088838939,-0.9286303275952655,-1.1004210980997604,-1.489808207651505,34.70234531280173,32.893285159893885,31.61312268441911,34.63543525793499,34.44342703860989,34.1048027913904,34.67457116493138
476,Isiah Kiner-Falefa,2019,16512,-0.5572695325462622,-1.112122341827126,-0.37201394498634666,-0.3588095362379471,-0.5183885887543143,-0.3006762329976062,-0.32028462824615506,32.511253210870926,32.598178327332356,33.42713267686591,32.55713274517633,32.448240358611855,32.929440458866054,32.54765841391452
424,Wilmer Difo,2019,14320,-0.6453902159137146,-0.871053217948885,-0.15598873089553,-0.142177603172035,-0.12845584688568729,-0.3054651244054035,-0.8584724700964046,32.583407699621155,32.570683052847556,34.934999100118745,32.57439606291733,32.325377063578,32.54628018329177,32.62098448727955
100,Jeff Francoeur,2019,4792,-0.945000539363053,-0.8107859369793249,-0.8014218629038721,-0.7223357252869091,-0.9245685282008007,-0.6598430885824059,-0.6307776139289913,35.07669711965548,32.44406944304703,29.78733261004825,34.91770721782565,34.84692583119845,33.664611323017176,34.95403752181026
158,Michael Bourn,2019,6387,-0.5572695325462622,-1.0116768735445256,-0.25970725876176304,-0.21785040170875775,-0.31529861903107104,-0.1570094907636863,-0.8377729377175488,32.70000253967973,32.42093370350442,34.08403172954067,32.711982786280586,32.41819243317714,32.825475166608285,32.73947281851523
444,Adam Engel,2019,15082,-0.9661495033712415,-0.9112314052619253,-0.18109257840455456,-0.10211553335847595,-0.4574615978373413,-0.4754707693822087,-0.6100780815501354,31.66447807437997,32.32884522336261,33.52917838732205,31.727244549640808,31.232641583504183,32.25152868812429,31.721905486545026
259,Chris Owings,2019,10030,-0.9555750213671472,-0.861008671120625,-0.6904364318113424,-0.6192129900260811,-0.7255403578720223,-0.7077320026603792,-0.22713673254130418,32.96977089036211,32.179736913296495,31.49924002674059,32.91719491332306,32.89558252215267,32.52295876392336,32.92102721111978
297,Matt Szczur,2019,11255,-0.7044685896710576,-0.6672734050962756,-0.9267767248105228,-0.9542083427484134,-0.6522243023876372,-0.8556394282979873,-0.6579102554719474,32.693046016971486,32.13588762481881,30.68386139304487,32.67538171524828,32.79993924158247,32.55292817278678,32.69080001600375
