,Name,Season,playerid,weightWRC,weightPA,weightH,weightAB,weightRBI,weightG,weight2B,runsPredicted,linearSVRRuns,svrRuns,BayesRidgeRuns,HuberRegressorRuns,RidgeRuns,ARDRegressionRuns
247,Austin Jackson,2019,9848,-0.7440853812852614,-0.7373409889992568,-0.5568819233147634,-0.6978533492897341,-0.8496068028953718,-0.664147182912152,-0.41343252395100594,37.4879411868285,37.64025962942421,37.76650494321041,37.554090479194855,37.375452062625726,37.713808617576206,37.562480086416755
59,Martin Prado,2019,3312,-0.7229364172770728,-0.717522162018448,-0.40842628967304606,-0.6414696954780583,-0.7103016728133953,-1.24587505502505,-0.3823832253827223,36.9400262470875,37.629090055342544,38.955463019451436,37.06648642869638,36.590740098878584,37.366139978782556,36.984854171660814
61,Miguel Montero,2019,3364,-0.7044685896710576,-0.8078637629256695,-0.8556394282979872,-0.8518274976693181,-0.6722867334995288,-0.8036202206830594,-0.8752553454499328,37.71009570479653,37.435025192509855,34.38769375794325,37.76242284343354,37.606805344468455,37.87428634751344,37.71970483590803
256,Steve Pearce,2019,9957,-0.5008722951910927,-1.1039892881442208,-0.9016821046761712,-1.1504063601466052,-0.5284310863174816,-1.3151283731337284,-0.651477146307847,37.536536179982676,37.282598665945315,34.02185136859905,37.53224431539014,37.484152047881565,37.518723751440625,37.51308699480772
363,Brad Miller,2019,12775,-0.7264612446117709,-0.7776392705269015,-0.9016821046761709,-0.8172976685486787,-0.6174315860920776,-0.9169217940088279,-0.6721766786867027,37.670893720114435,37.19019738774996,34.6315355274715,37.69915380784365,37.60834812185568,37.75336065248636,37.67113090912673
166,Johnny Giavotella,2019,6740,-0.874503992669091,-0.5635959391341657,-0.3725096041145662,-0.43299855441120466,-0.8689547376289797,-0.7160871714936609,-0.11328930445759755,37.3118602796429,37.18485970521126,40.86222745862898,37.33326607769246,37.02036837160814,37.40053007852331,37.34656229535404
32,Ryan Howard,2019,2154,-0.7335108992811671,-0.5966273174355138,-0.9711210300892325,-0.5442820816710909,0.21452960745305946,-0.26594060378725176,-1.1482659234003851,39.314713600226376,37.10449240010034,40.050356041126086,39.07647461201944,39.063224213552736,38.551004262382776,39.09214016994183
373,Austin Hedges,2019,12976,-0.7934329639710347,-0.6541019156798595,-0.7580153624422512,-0.565055006759603,-0.42782182570272087,-0.6918485101556234,-0.6411273801184192,38.9622745002039,37.040539642225156,36.85381080295764,38.766085239425394,38.589987540795505,38.32991422931869,38.78234354404216
429,Jake Cave,2019,14477,-0.5925178058932431,-0.9467599274298037,-0.7316764596993659,-0.9003893689027272,-0.3272125650879601,-0.9931004439283742,-0.5272799520347126,37.116631093079164,36.712085065205414,35.94209588967213,37.05677130382553,36.99351264901237,36.93772602992517,37.07419380974741
19,Jose Reyes,2019,1736,-0.8780288200037891,-0.6970427074716121,-0.8633709734137924,-0.680789875109885,-0.9308681287765246,-0.1447472970970647,-0.5272799520347126,37.98058654280267,36.5224045227725,37.41885438490941,37.87375792976183,37.989429182763274,37.630883498469856,37.97078205754838
297,Matt Szczur,2019,11255,-0.7044685896710576,-0.9267767248105228,-0.8556394282979873,-0.9542083427484134,-0.7535480593806819,-0.13878836683974757,-0.6579102554719474,36.42401267821182,36.30739932307105,36.117466354106526,36.438481198348924,36.667965673462845,36.48174384857647,36.537218391950745
406,Adalberto Mondesi,2019,13769,-0.6277660792402241,-1.065672889314657,-0.7077320026603793,-0.9597405834413333,-0.6367795208256856,-1.5471269887978008,-0.8377729377175488,38.23228833895965,36.25654256439125,34.216019477657696,37.985791844509855,37.52672945337133,37.43565643996618,37.93512802881676
202,Hunter Pence,2019,8252,-0.8427805466568081,-0.644853129755482,-0.5736430432420541,-0.563571226396138,-0.5129527385305954,-0.36982058095026926,-0.8584724700964045,36.26728639925693,36.19985551414061,37.46894302225227,36.29481397756612,36.025799541124734,36.381058379585,36.27807725800599
34,Kelly Johnson,2019,2234,-0.8040074459751291,-0.7882093115833329,-0.7316764596993659,-0.7445924307388864,-0.7528671292273326,0.3919659182451923,-0.73427527582327,36.86942330237198,36.1824575052304,39.68294090533037,36.79568334148285,37.012221709411534,36.65358483184924,36.93920134600017
86,Matt Wieters,2019,4298,-0.8251564099833176,-0.6858120388491536,-0.7939320480007312,-0.7008209100166645,-0.5129527385305953,-0.8580564736164514,-0.8895217686646881,35.704935682699144,36.063814733771366,35.079813503469126,35.8402613800928,35.57118175560852,36.14761720087027,35.75604276692059
341,Jorge Bonifacio,2019,12174,-0.8216315826486196,-0.9031585080720241,-0.9352043445307524,-0.9196785136277741,-0.981172759083905,-1.2978150436065585,-0.5583292506029962,36.38821618593214,35.42222392939823,33.00410368327955,36.36061386980263,36.175383671515704,36.281271211279545,36.328581147267755
454,Jeff McNeil,2019,15362,-0.6277660792402241,-1.3497427427062507,-0.7556209167383525,-1.330685674307621,-1.333305171235568,-1.9626468974498705,-1.0447682615061062,36.21383629201347,35.24075669593546,32.96995838606256,36.13313702159158,35.517835839808626,35.94059768563201,36.01768287121838
358,John Hicks,2019,12547,-0.8040074459751291,-0.9269411004489949,-0.7316764596993659,-0.8632948598160984,-0.830258868161764,-1.3393670344717656,-0.9412705996118276,36.1589864717493,35.146211785794236,33.124977166909375,36.08628117174433,35.592114061587154,35.92386025166735,35.99995546068644
71,Rene Rivera,2019,3648,-0.757340999691529,-0.9129035459239565,-0.8269060798512032,-0.9030179202088657,-0.5329816034175525,-1.0425441681579997,-0.9063046440182163,35.0830768938814,35.01698008962062,33.07460371002968,35.120050739155815,34.886281754353895,35.210569995267235,35.0642897603203
438,Tony Kemp,2019,14894,-0.7335108992811671,-1.0392477866735785,-0.9232321160112591,-1.1081186197878483,-0.9076506070961953,-0.7853404896023392,-0.6307776139289913,34.3200152537903,34.95933756710339,32.45017420652566,34.45550097299267,34.5398098740427,34.76041272996754,34.476503769699406
307,Ronald Torreyes,2019,11400,-0.8392557193221101,-0.768390484602524,-0.3246206900365929,-0.6629845107483031,-0.6754753902929013,-0.4044472400046084,-0.6307776139289913,32.98096207494777,34.869076428470564,37.805452789363855,33.20514967026975,32.90384169141021,33.756195946717696,33.19167103252311
299,Aaron Altherr,2019,11270,-0.7476102086199594,-0.8919278394495659,-1.074082195356875,-0.9434189994432166,-0.3426909128748464,-0.6537591851958503,-0.6928762110655585,35.07198189844045,34.85226578023146,33.85067587095388,35.09416014836434,35.30149380401153,35.14540261758086,35.13017252945099
427,Lewis Brinson,2019,14352,-1.156490179444939,-0.30595118838365043,-0.7077320026603793,-0.16591808898747745,-0.44330017348960715,-0.36982058095026926,-1.1482659234003851,36.77400660872729,34.80897605915224,39.782649618138336,36.63545277839229,36.114976370211544,36.33358176801208,36.560866585142875
94,Prince Fielder,2019,4613,-0.945000539363053,-0.5437771121533568,-0.8753432019332859,-0.5813765907577197,-0.3659084345551758,-1.0623537620370525,-0.5272799520347126,33.69139213102431,34.805834221840854,36.37971355922183,33.94783585669319,33.77447435381366,34.52338179143996,33.85084219647641
469,Bradley Zimmer,2019,16221,-0.8392557193221101,-0.7948155872436025,-0.8035098308163259,-0.7816869398255152,-0.5593877818912542,-0.6468338533849826,-0.6307776139289913,34.44353643153738,34.737511840499465,34.60040579526009,34.525517342886914,34.4862657470464,34.72265667368427,34.531378032987384
500,Dae-Ho Lee,2019,18722,-0.7335108992811671,-0.8939097221476469,-0.7556209167383525,-0.8336192525467955,-0.17242908721909736,-0.542953876221965,-1.2517635852946638,34.86409353372922,34.70409153342122,35.78432660891216,34.84075238175212,34.62865640483059,34.81763277797152,34.80956847779723
21,Jhonny Peralta,2019,1738,-0.8392557193221101,-0.9203348247887253,-0.7316764596993659,-0.8558759579987727,-0.946346476563411,-1.3047403754174265,-0.4237822901404338,35.40927966985969,34.67968472719785,34.47088336585044,35.361706851541896,35.08683444088619,35.25582192169886,35.344419651690984
365,Brian Goodwin,2019,12858,-0.6982626259341861,-1.1515544728981622,-1.0190099441672058,-1.1377942270571515,-0.9076506070961953,-1.58175364785214,-0.009791642563318798,36.29792084118513,34.64328055208516,35.29652667666206,36.11352533563726,36.231551313716665,35.68356703716244,36.18887662375299
9,Andrew Romine,2019,1159,-1.015497086057015,-0.6891151766792886,-0.7556209167383525,-0.6407278052963258,-1.1011299544322737,0.14957930486481816,-0.4237822901404338,35.14226007111645,34.53564038654136,39.239859848445775,35.123169776542724,35.2811234088843,35.092832963869455,35.25332795916473
259,Chris Owings,2019,10030,-0.9555750213671472,-0.6904364318113424,-0.7077320026603792,-0.6192129900260811,-0.776084650907662,-0.5221778807893616,-0.22713673254130418,34.60142270439563,34.40130408976925,37.1413923079828,34.61707435422511,34.6256772596478,34.666620785402685,34.68174205224862
383,Nicky Delmonico,2019,13157,-0.945000539363053,-0.8873034464873772,-1.066898858245179,-0.8929704670854015,-1.1011299544322737,-1.0969804210913916,-1.0447682615061062,36.59393151257869,34.376891499513974,30.899935281851956,36.4382522408321,36.14730317360035,36.063497774878385,36.39121677124214
361,Alex Dickerson,2019,12649,-0.6982626259341861,-1.1053105432762746,-0.9711210300892325,-1.1229564234224998,-0.6367795208256856,-1.2354870573087482,-0.5272799520347126,34.466728771380055,34.235137221978974,32.20198670689017,34.46105585787558,34.497106105265175,34.44883859979717,34.47600513960923
277,Adeiny Hechavarria,2019,10459,-1.011972258722317,-0.6646719567362909,-0.5736430432420541,-0.5709901282134637,-0.8534763898420934,-0.6468338533849824,-0.8895217686646881,34.07800753850765,34.138354550374146,35.920514862170336,34.14915167659509,33.69872801916989,34.328141311395896,34.088617250509515
55,Franklin Gutierrez,2019,3255,-0.7335108992811671,-1.1185230945968139,-1.066898858245179,-1.1600509325091286,-0.5593877818912542,-0.750713830548,-1.2517635852946638,34.08344843370391,33.656625379784934,31.123319780653084,34.06623859186395,34.05044108866876,34.03229107879105,34.056147137542055
403,David Dahl,2019,13744,-0.6348157339096202,-1.2651824142547996,-0.8849209847488804,-1.2127251354121416,-0.48973521685026594,-1.6233056387173468,-1.0137189629378227,34.44208889511246,33.543461256324164,31.88491182421879,34.31279118739461,34.00001360810072,34.03202307225841,34.2548559478264
100,Jeff Francoeur,2019,4792,-0.945000539363053,-0.8014218629038721,-0.6598430885824059,-0.7223357252869091,-0.7528671292273326,0.1842059639191573,-0.6307776139289913,33.06639774453234,33.40060180198992,37.88964438263686,33.10476673521559,33.23024301284037,33.227169315745414,33.219878028911936
125,Alex Presley,2019,5305,-0.8040074459751291,-1.2440423321419367,-0.6837875456213927,-1.182307637961106,-1.2946093017683522,-1.6856336250151573,-1.1482659234003851,33.625147137848984,33.17554663613198,31.68411389778073,33.60469070017452,32.93421970635663,33.56214180984206,33.484427274773594
130,Jake Smolinski,2019,5408,-1.015497086057015,-0.8806971708271075,-0.8753432019332859,-0.848457056181447,-1.0237382154978423,-0.7160871714936609,-1.5622565709775,33.96682341841705,32.94555007854044,32.732748566379314,33.93471491254542,33.43762436829955,33.86393242955516,33.83988020377523
