Season,Name,Team,Position,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wRC,wRAA,wOBA,wRC+,wSB,UBR,wGDP,BB%+,LD+%,GB%+,FB%+,HR/FB,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerid
2017,Hunter Renfroe,Padres,RF,122,445,479,103,51,25,1,26,51,58,27,1,140,6,1,0,4,3,0,0.231,5.60%,29.20%,0.19,0.284,0.467,0.751,0.236,3.2,0.275,56,-2.1,0.316,94,0.4,-1.3,1.6,63,81,86,129,18.70%,50.00%,31.10%,19.00%,23.50%,41.80%,34.60%,15464
2017,Randal Grichuk,Cardinals,RF,122,412,442,98,48,25,3,22,53,59,26,3,133,2,2,0,9,6,1,0.238,5.90%,30.10%,0.2,0.285,0.473,0.758,0.235,5.2,0.293,52,-2,0.315,95,0.6,1.9,0.5,65,104,81,121,18.30%,51.30%,27.80%,21.00%,18.20%,41.60%,40.20%,10243
2018,Phillip Ervin,Reds,RF,78,218,247,55,37,10,1,7,27,31,20,1,60,5,4,0,5,6,1,0.252,8.10%,24.30%,0.33,0.324,0.404,0.728,0.151,5.1,0.31,29,0.1,0.315,94,0.6,1.7,0.1,90,127,84,103,12.30%,35.20%,30.30%,34.60%,19.80%,45.70%,34.60%,14738
2017,Stephen Piscotty,Cardinals,RF,107,341,401,80,54,16,1,9,40,39,52,2,87,5,3,0,11,3,6,0.235,13.00%,21.70%,0.6,0.342,0.367,0.708,0.132,2.7,0.286,46,-2.8,0.313,93,-2.2,-1.1,-0.5,144,86,111,94,10.60%,44.80%,29.60%,25.70%,17.90%,49.40%,32.70%,13367
2016,Hernan Perez,Brewers,RF,123,404,430,110,76,18,3,13,50,56,18,0,94,1,4,3,6,34,7,0.272,4.20%,21.90%,0.19,0.302,0.428,0.73,0.156,6.9,0.322,48,-2.2,0.312,90,3.7,1.5,1.2,48,96,97,106,11.50%,36.90%,35.70%,27.40%,17.70%,50.50%,31.90%,5751
2017,Jason Heyward,Cubs,RF,126,432,481,112,82,15,4,11,59,59,41,1,67,3,2,2,8,4,4,0.259,8.50%,13.90%,0.61,0.326,0.389,0.715,0.13,4.3,0.284,55,-4.1,0.311,89,-1.2,0.2,0.2,95,97,107,93,9.20%,46.30%,33.90%,19.80%,25.80%,48.80%,25.50%,4940
2017,Patrick Kivlehan,Reds,RF,115,178,204,37,22,5,1,9,23,26,22,1,61,3,1,0,2,1,2,0.208,10.80%,29.90%,0.36,0.304,0.399,0.703,0.191,3.3,0.257,22,-3.1,0.303,81,-0.8,0.7,0.6,120,87,100,108,20.00%,38.10%,37.30%,24.60%,24.60%,42.40%,33.10%,13910
2017,Hunter Pence,Giants,RF,134,493,539,128,97,13,5,13,55,67,40,1,102,2,4,0,8,2,3,0.26,7.40%,18.90%,0.39,0.315,0.385,0.701,0.126,3.6,0.301,58,-8.1,0.303,87,-1.2,2.7,1.2,82,65,129,83,11.20%,29.90%,41.80%,28.40%,18.50%,52.20%,29.40%,8252
2018,Travis Jankowski,Padres,RF,117,347,387,90,71,12,3,4,45,17,37,0,73,1,0,2,7,24,7,0.259,9.60%,18.90%,0.51,0.332,0.346,0.678,0.086,6.5,0.319,41,-3.8,0.303,91,1.7,1.4,-0.5,107,100,135,57,7.70%,34.40%,33.70%,31.90%,21.40%,52.90%,25.70%,13768
2018,Steven Souza Jr.,Diamondbacks,RF,72,241,272,53,30,15,3,5,21,29,28,0,75,3,0,0,4,6,1,0.22,10.30%,27.60%,0.37,0.309,0.369,0.678,0.149,5.5,0.298,28,-3.4,0.299,85,0.6,0.4,-0.3,115,110,86,110,7.80%,38.00%,35.50%,26.50%,18.10%,38.00%,44.00%,5667
2017,Gregory Polanco,Pirates,RF,108,379,411,95,64,20,0,11,39,35,27,4,60,3,1,0,5,8,1,0.251,6.60%,14.60%,0.45,0.305,0.391,0.695,0.14,3.7,0.272,42,-8.2,0.297,81,0.9,1.3,0.8,73,99,95,106,9.20%,44.10%,30.60%,25.30%,22.80%,51.30%,25.90%,12907
2018,Jay Bruce,Mets,RF,94,319,361,71,43,18,1,9,31,37,41,4,75,0,1,0,3,2,3,0.223,11.40%,20.80%,0.55,0.31,0.37,0.68,0.147,2.4,0.263,37,-5.5,0.296,89,-1,0.1,1.3,127,109,65,137,7.70%,45.10%,36.50%,18.40%,16.00%,50.80%,33.20%,9892
2017,Jose Osuna,Pirates,RF,104,215,227,50,26,13,4,7,31,30,9,0,40,2,1,0,10,0,0,0.233,4.00%,17.60%,0.23,0.269,0.428,0.697,0.195,4.9,0.254,22,-5.3,0.293,78,-0.1,0.3,-1.5,44,89,119,82,13.70%,38.60%,31.30%,30.10%,23.30%,47.20%,29.60%,12937
2016,Peter Bourjos,Phillies,RF,123,355,383,89,57,20,7,5,40,23,17,2,91,4,1,6,6,6,4,0.251,4.40%,23.80%,0.19,0.292,0.389,0.681,0.138,6.1,0.323,37,-8.5,0.291,78,-0.6,3.2,0,51,80,114,94,6.00%,41.30%,37.30%,21.40%,24.40%,52.80%,22.90%,2578
2017,Ichiro Suzuki,Marlins,RF,136,196,215,50,41,6,0,3,19,20,17,1,35,1,0,1,2,1,1,0.255,7.90%,16.30%,0.49,0.318,0.332,0.649,0.077,1.9,0.297,20,-6.2,0.287,77,-0.4,-0.3,0.8,88,91,129,69,7.70%,32.70%,34.60%,32.70%,27.20%,54.30%,18.50%,1101
