Season,Name,Team,Position,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wRC,wRAA,wOBA,wRC+,wSB,UBR,wGDP,BB%+,LD+%,GB%+,FB%+,HR/FB,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerid
2018,DJ LeMahieu,Rockies,2B,128,533,581,147,98,32,2,15,90,62,37,0,82,2,7,2,14,6,5,0.276,6.40%,14.10%,0.45,0.321,0.428,0.749,0.152,4.4,0.298,72,3.7,0.322,87,-1.2,0.6,-1,71,96,115,84,11.10%,29.80%,40.70%,29.60%,16.30%,48.70%,35.00%,9874
2017,Adam Frazier,Pirates,2B,121,406,454,112,80,20,6,6,55,53,36,2,57,8,3,1,9,9,5,0.276,7.90%,12.60%,0.63,0.344,0.399,0.743,0.123,5.7,0.306,56,0.5,0.322,97,-0.6,3.9,-0.6,88,123,108,76,6.40%,32.30%,32.90%,34.80%,17.90%,54.70%,27.50%,15223
2018,Cesar Hernandez,Phillies,2B,161,605,708,153,120,15,3,15,91,60,95,4,155,4,3,1,12,19,6,0.253,13.40%,21.90%,0.61,0.356,0.362,0.718,0.109,5,0.315,86,3.2,0.32,99,0.8,0.4,-1.1,149,94,106,96,10.20%,40.30%,32.20%,27.50%,20.50%,55.50%,24.00%,10556
2017,Daniel Descalso,Diamondbacks,2B,131,344,398,80,49,16,5,10,47,51,48,0,89,4,2,0,6,4,0,0.233,12.10%,22.40%,0.54,0.332,0.395,0.727,0.163,5.8,0.283,47,-1.1,0.318,88,0.5,-0.2,0.3,134,87,88,123,9.00%,43.60%,34.60%,21.80%,16.00%,47.10%,37.00%,8392
2016,Jace Peterson,Braves,2B,115,350,408,89,65,16,1,7,45,29,52,2,69,1,3,2,9,5,5,0.254,12.70%,16.90%,0.75,0.35,0.366,0.715,0.111,3.1,0.296,48,-0.5,0.317,95,-1.3,0.2,-0.7,147,87,129,70,10.40%,34.60%,36.70%,28.70%,19.90%,54.90%,25.20%,12325
2017,Greg Garcia,Cardinals,2B,133,241,290,61,48,9,2,2,27,20,37,0,64,6,1,5,6,2,1,0.253,12.80%,22.10%,0.58,0.365,0.332,0.697,0.079,3.9,0.335,34,-1.1,0.317,95,-0.3,1.1,0.4,142,148,108,62,5.30%,29.50%,38.80%,31.70%,19.70%,63.40%,16.90%,10951
2017,Chase Utley,Dodgers,2B,127,309,353,73,41,20,4,8,43,34,32,0,57,9,2,1,3,6,1,0.236,9.10%,16.10%,0.56,0.324,0.405,0.728,0.168,6.2,0.264,42,-1.4,0.316,96,0.6,1,0.8,101,90,98,108,8.20%,45.10%,29.00%,25.90%,16.50%,47.10%,36.50%,1679
2016,Javier Baez,Cubs,2B,142,421,450,115,81,19,1,14,50,59,15,3,108,11,2,1,8,12,3,0.273,3.30%,24.00%,0.14,0.314,0.423,0.737,0.15,4.7,0.336,52,-0.9,0.316,94,0.9,0.9,1,39,92,99,107,12.70%,45.60%,34.50%,19.90%,18.70%,52.20%,29.10%,12979
2018,Starlin Castro,Marlins,2B,154,593,647,165,119,32,2,12,76,54,48,3,124,0,6,0,18,6,4,0.278,7.40%,19.20%,0.39,0.329,0.4,0.729,0.121,3.6,0.33,76,0.4,0.315,101,-0.8,1,-1.9,83,92,118,83,8.80%,40.20%,38.70%,21.10%,15.80%,47.00%,37.30%,4579
2016,Brandon Phillips,Reds,2B,141,550,584,160,114,34,1,11,74,64,18,3,68,8,6,2,17,14,8,0.291,3.10%,11.60%,0.26,0.32,0.416,0.736,0.125,4.4,0.312,67,-1.6,0.315,92,-0.8,-0.9,-1.7,36,101,103,95,7.00%,33.30%,36.30%,30.40%,20.80%,52.50%,26.70%,791
