Name,Season,League,Position,playerid,runsPredicted,HRsPredicted,RBIsPredicted,AVGPredicted,opsPredicted,linearSvrRBI,linearSvrAVG,linearSvrHR,linearSvrOPS,linearSVRRuns,svrRBI,svrAVG,SvrHR,svrOPS,svrRuns,runsActual,HRsActual,RBIsActuals,AVGActuals,OpsActuals
Odubel Herrera,2019,NL,OF,11476,74.22921798,18.29095845,68.05212526,0.271018579,0.749214965,69.19827835,0.269447368,18.06934203,0.749300013,71.94758418,69.41546523,0.2565,17.87232866,0.790251189,41.27939691,12,1,16,0.222,0.629
Cory Spangenberg,2019,NL,2B,12294,43.89259658,9.602771991,33.87311191,0.258569416,0.678917001,35.34747527,0.260636339,9.639424564,0.678666488,42.17860025,34.55971032,0.2565,10.27517303,0.749343595,38.33287064,11,2,10,0.232,0.635
Nick Williams,2019,NL,OF,14330,52.8614235,15.70209741,46.84781838,0.268757298,0.767610039,48.83428056,0.271208003,15.70941501,0.767831078,51.19396399,50.2074344,0.2565,16.03273114,0.795165047,29.89956085,9,2,5,0.151,0.442
Jedd Gyorko,2019,NL,2B,10816,54.02209726,14.7031476,53.5277939,0.258282599,0.781190879,52.10215452,0.259577513,14.68723126,0.781547979,53.69763349,52.64569453,0.2565,14.40442183,0.799431518,45.0740848,6,2,9,0.174,0.498
Mookie Betts,2019,AL,OF,13611,104.2063172,29.76836463,94.16230011,0.307443249,0.977255931,93.66082773,0.315359755,29.55637648,0.978829872,103.1029099,85.81176038,0.2565,28.95025743,0.903533408,29.85141721,135,29,80,0.295,0.915
Rafael Devers,2019,AL,3B,17350,48.22735282,17.02306277,54.68258838,0.254226923,0.757691714,53.23200948,0.256189628,16.9827973,0.75783728,47.14626448,53.38735763,0.2565,17.56148164,0.792634472,24.41584904,129,32,115,0.311,0.916
Marcus Semien,2019,AL,SS,12533,70.13764818,15.59471243,60.89657447,0.258527811,0.714001706,60.30184517,0.254698643,15.36941991,0.713943464,69.43416869,61.84698738,0.2565,14.01822011,0.774792236,36.8538108,123,33,92,0.285,0.892
Alex Bregman,2019,AL,3B,17678,92.55767481,27.08844756,85.59665596,0.27392099,0.882705182,86.30467787,0.277897864,26.78382424,0.883884906,91.95696904,88.34620141,0.2565,26.22190215,0.833830933,28.8902935,122,41,112,0.296,1.015
Jonathan Villar,2019,AL,SS,10071,61.8274142,14.13808518,52.76633382,0.270727684,0.70753618,52.57573534,0.271005592,14.06485883,0.707367001,60.03879203,53.00104817,0.2565,14.94456318,0.767813248,47.11810914,111,24,73,0.274,0.792
Carlos Santana,2019,AL,1B,2396,88.16113546,24.9598012,81.33996017,0.245837899,0.791361956,79.90487836,0.245525747,24.57846147,0.791951348,87.87089422,84.5936984,0.2565,23.38416986,0.805243658,84.81199422,110,34,93,0.281,0.911
