"Season","Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","BB/K","OBP","SLG","OPS","ISO","Spd","BABIP","wRC","wRAA","wOBA","wRC+","wSB","UBR","wGDP","BB%+","LD+%","GB%+","FB%+","HR/FB","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"2016","Robbie Ray","Diamondbacks","32","53","60","10","7","2","0","1","3","2","1","0","26","0","0","6","0","0","0",".189","1.7 %","43.3 %","0.04",".204",".283",".487",".094","0.8",".346","2","-5.4",".210","18","0.0","","","19","70","149","54","20.0 %","39.4 %","42.4 %","18.2 %","39.4 %","39.4 %","21.2 %","11486"
"2018","Tanner Roark","Nationals","31","58","65","11","8","2","1","0","6","8","1","0","19","1","0","5","1","0","0",".190","1.5 %","29.2 %","0.05",".217",".259",".475",".069","5.1",".282","2","-5.6",".209","23","0.0","","","17","70","178","22","0.0 %","15.9 %","63.6 %","20.5 %","22.7 %","59.1 %","18.2 %","8753"
"2017","Jhoulys Chacin","Padres","34","54","61","12","10","2","0","0","0","4","0","0","11","0","0","7","2","1","0",".222","0.0 %","18.0 %","0.00",".222",".259",".481",".037","2.9",".279","2","-5.8",".208","24","0.2","","","0","57","126","92","0.0 %","50.0 %","24.0 %","26.0 %","38.0 %","46.0 %","16.0 %","2608"
"2017","Clayton Kershaw","Dodgers","27","49","59","9","8","1","0","0","6","2","4","0","13","0","0","6","2","0","0",".184","6.8 %","22.0 %","0.31",".245",".204",".449",".020","2.4",".250","2","-5.6",".208","25","0.0","","","75","89","151","43","0.0 %","23.8 %","26.2 %","50.0 %","16.7 %","73.8 %","9.5 %","2036"
"2017","Jon Lester","Cubs","32","54","65","8","4","3","0","1","5","6","4","0","26","0","1","6","0","1","0",".148","6.2 %","40.0 %","0.15",".203",".259",".463",".111","4.7",".250","1","-6.5",".203","18","0.2","","","68","67","148","59","16.7 %","37.1 %","45.7 %","17.1 %","22.9 %","51.4 %","25.7 %","4930"
"2016","Tyler Chatwood","Rockies","27","53","58","10","9","0","1","0","3","4","2","0","14","0","0","3","1","0","0",".189","3.4 %","24.1 %","0.14",".218",".226",".445",".038","3.6",".256","1","-5.8",".197","0","0.0","","","40","92","143","49","0.0 %","16.7 %","40.5 %","42.9 %","28.6 %","66.7 %","4.8 %","4338"
"2016","Julio Teheran","Braves","31","49","61","10","9","1","0","0","1","2","1","0","16","0","0","11","1","0","0",".204","1.6 %","26.2 %","0.06",".220",".224",".444",".020","0.1",".303","1","-6.1",".197","15","0.0","","","19","152","79","95","0.0 %","18.2 %","45.5 %","36.4 %","36.4 %","50.0 %","13.6 %","6797"
"2017","Zach Davies","Brewers","33","48","69","6","4","2","0","0","7","3","7","0","15","0","0","14","1","0","0",".125","10.1 %","21.7 %","0.47",".236",".167",".403",".042","2.6",".182","1","-7.2",".197","12","0.0","","","113","44","144","77","0.0 %","29.8 %","34.0 %","36.2 %","36.2 %","51.1 %","12.8 %","13183"
"2018","Patrick Corbin","Diamondbacks","33","61","67","12","11","1","0","0","1","5","2","0","25","0","0","4","3","0","0",".197","3.0 %","37.3 %","0.08",".222",".213",".435",".016","0.1",".333","1","-6.5",".195","16","0.0","","","33","86","166","27","0.0 %","30.0 %","45.0 %","25.0 %","27.5 %","57.5 %","15.0 %","9323"
"2017","Max Scherzer","Nationals","31","62","72","10","9","0","0","1","4","5","4","0","16","0","0","6","0","0","0",".161","5.6 %","22.2 %","0.25",".212",".210",".422",".048","1.0",".200","1","-7.9",".192","8","0.0","","","62","76","146","57","11.1 %","32.7 %","34.6 %","32.7 %","38.5 %","40.4 %","21.2 %","3137"
