"Season","Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","BB/K","OBP","SLG","OPS","ISO","Spd","BABIP","wRC","wRAA","wOBA","wRC+","wSB","UBR","wGDP","BB%+","LD+%","GB%+","FB%+","HR/FB","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"2016","Tyler Flowers","Braves","83","281","325","76","50","18","0","8","27","41","29","1","91","11","4","0","3","0","0",".270","8.9 %","28.0 %","0.32",".357",".420",".777",".149","0.7",".366","44","5.5",".338","110","-0.2","-3.8","1.2","103","87","95","115","10.5 %","35.1 %","37.1 %","27.8 %","12.9 %","43.3 %","43.8 %","9134"
"2018","Kurt Suzuki","Braves","105","347","388","94","58","24","0","12","45","50","22","0","43","13","6","0","6","0","0",".271","5.7 %","11.1 %","0.51",".332",".444",".776",".173","1.5",".275","52","6.3",".335","108","-0.2","-1.4","1.0","63","106","82","118","9.4 %","52.6 %","29.0 %","18.4 %","15.2 %","46.1 %","38.7 %","8259"
"2018","Robinson Chirinos","Rangers","113","360","426","80","46","15","1","18","48","65","45","0","140","19","2","0","7","2","0",".222","10.6 %","32.9 %","0.32",".338",".419",".757",".197","3.4",".304","56","6.5",".333","101","0.1","-3.7","0.1","127","100","71","134","16.7 %","49.6 %","31.5 %","18.9 %","14.9 %","41.0 %","44.1 %","3142"
"2016","J.T. Realmuto","Marlins","137","509","545","154","112","31","0","11","60","48","28","1","100","5","3","0","12","12","4",".303","5.1 %","18.3 %","0.28",".343",".428",".771",".126","3.7",".357","71","6.8",".333","111","0.4","1.1","-0.4","59","96","110","89","8.8 %","41.0 %","34.5 %","24.5 %","21.1 %","49.0 %","29.9 %","11739"
"2017","J.T. Realmuto","Marlins","141","532","579","148","95","31","5","17","68","65","36","4","106","8","3","0","13","8","2",".278","6.2 %","18.3 %","0.34",".332",".451",".783",".173","5.0",".318","76","5.4",".332","107","0.4","1.0","0.2","69","87","108","97","11.6 %","46.6 %","35.2 %","18.2 %","14.9 %","51.8 %","33.3 %","11739"
"2017","Salvador Perez","Royals","129","471","499","126","74","24","1","27","57","80","17","3","95","5","5","0","23","1","0",".268","3.4 %","19.0 %","0.18",".297",".495",".792",".227","2.4",".280","64","3.3",".329","102","0.0","-0.4","-3.2","40","97","77","129","15.1 %","53.0 %","29.7 %","17.3 %","16.5 %","45.4 %","38.1 %","7304"
"2016","Alex Avila","White Sox","57","169","209","36","23","6","0","7","19","11","38","0","78","1","1","0","3","0","0",".213","18.2 %","37.3 %","0.49",".359",".373",".732",".160","0.6",".341","26","1.8",".329","107","-0.1","-2.4","0.3","227","122","119","64","33.3 %","38.0 %","43.5 %","18.5 %","8.7 %","58.7 %","32.6 %","7476"
"2016","Brian McCann","Yankees","130","429","492","104","71","13","0","20","56","58","54","2","99","7","2","0","15","1","0",".242","11.0 %","20.1 %","0.55",".335",".413",".748",".170","1.9",".269","61","3.2",".326","102","-0.1","-1.9","-1.7","137","105","78","124","13.7 %","50.0 %","32.2 %","17.8 %","14.8 %","49.7 %","35.5 %","4810"
"2018","Buster Posey","Giants","105","398","448","113","85","22","1","5","47","41","45","3","53","3","2","0","12","3","2",".284","10.0 %","11.8 %","0.85",".359",".382",".741",".098","2.9",".316","56","4.1",".326","107","-0.5","-2.1","-1.2","112","102","109","88","4.7 %","33.7 %","38.3 %","28.0 %","13.8 %","49.9 %","36.3 %","9166"
"2017","Chris Gimenez","Twins","77","186","225","41","25","9","0","7","28","16","33","0","60","4","0","2","3","1","0",".220","14.7 %","26.7 %","0.55",".350",".382",".731",".161","2.7",".286","28","0.9",".326","101","0.0","-1.1","0.6","174","127","86","102","15.2 %","53.9 %","31.3 %","14.8 %","15.6 %","53.9 %","30.5 %","7324"
"2016","David Ross","Cubs","67","166","205","38","22","6","0","10","24","32","30","6","54","0","5","4","3","0","1",".229","14.6 %","26.3 %","0.56",".338",".446",".784",".217","1.4",".262","25","1.3",".326","101","-0.5","0.8","0.5","169","112","75","126","20.4 %","40.5 %","34.7 %","24.8 %","19.0 %","46.3 %","34.7 %","1551"
"2018","Yan Gomes","Indians","112","403","435","107","65","26","0","16","52","48","21","2","119","8","3","0","4","0","0",".266","4.8 %","27.4 %","0.18",".313",".449",".762",".184","1.5",".336","55","3.8",".326","101","-0.2","-2.0","0.9","58","128","75","113","13.6 %","42.9 %","32.4 %","24.7 %","13.9 %","42.9 %","43.2 %","9627"
"2017","Evan Gattis","Astros","84","300","325","79","45","22","0","12","41","55","18","0","50","4","3","0","10","0","1",".263","5.5 %","15.4 %","0.36",".311",".457",".767",".193","2.0",".278","41","1.2",".325","105","-0.6","-1.7","-0.8","66","103","85","116","11.2 %","44.3 %","30.8 %","24.9 %","19.8 %","46.6 %","33.6 %","11003"
"2017","Yasmani Grandal","Dodgers","129","438","482","108","59","27","0","22","50","58","40","0","130","0","3","1","10","0","1",".247","8.3 %","27.0 %","0.31",".308",".459",".767",".212","1.1",".298","60","1.6",".325","102","-0.7","-3.7","0.1","92","80","98","114","17.7 %","41.7 %","33.7 %","24.7 %","17.6 %","45.8 %","36.5 %","11368"
"2018","Mitch Garver","Twins","103","302","335","81","53","19","2","7","38","45","29","2","72","2","1","1","8","0","0",".268","8.7 %","21.5 %","0.40",".335",".414",".749",".146","2.6",".330","42","2.7",".325","104","-0.2","-0.3","-0.3","104","106","94","103","8.0 %","38.8 %","34.5 %","26.7 %","21.6 %","37.9 %","40.5 %","15161"
"2017","Russell Martin","Blue Jays","91","307","365","68","43","12","0","13","49","35","50","0","83","7","0","1","13","1","2",".221","13.7 %","22.7 %","0.60",".343",".388",".731",".166","2.2",".261","45","0.9",".324","101","-0.9","0.3","-0.7","163","117","111","77","20.6 %","40.0 %","37.3 %","22.7 %","16.4 %","53.3 %","30.2 %","4616"
"2016","Nick Hundley","Rockies","83","289","317","75","44","20","1","10","30","48","25","3","65","1","1","1","12","0","0",".260","7.9 %","20.5 %","0.38",".320",".439",".759",".180","1.7",".302","39","1.3",".323","84","-0.2","0.2","-1.8","91","84","102","107","12.2 %","42.9 %","33.2 %","23.9 %","14.6 %","47.8 %","37.6 %","3376"
"2018","Yadier Molina","Cardinals","123","459","503","120","80","20","0","20","55","74","29","0","66","9","6","0","15","4","3",".261","5.8 %","13.1 %","0.44",".314",".436",".750",".174","2.5",".264","62","3.4",".323","105","-0.7","-1.5","-1.2","64","110","90","106","13.6 %","49.6 %","29.3 %","21.1 %","13.3 %","42.4 %","44.4 %","7007"
"2017","Manny Pina","Brewers","107","330","359","92","62","21","0","9","45","43","20","0","79","5","3","1","8","2","0",".279","5.6 %","22.0 %","0.25",".327",".424",".751",".145","3.2",".339","44","0.5",".323","95","0.2","-1.1","-0.5","62","113","78","120","8.4 %","44.7 %","31.8 %","23.5 %","14.1 %","51.8 %","34.1 %","2829"
